State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Andhra Pradesh,Markapuram,790,Podili,5120,Yeluru,యెలూరు,authoritative,590986,523253,,
Andhra Pradesh,Srikakulam,519,Santhabommali,4790,Yemalapeta,ఏమలపేట,transliterated,581020,532211,,
Andhra Pradesh,Vizianagaram,521,Bobbili,4816,Yembanavalasa,యెంబనవలస,transliterated,582332,535573,,
Andhra Pradesh,Kurnool,511,Yemmiganur,5254,Yemmiganur,యెమ్మిగనుర్,transliterated,930564,518360,,
Andhra Pradesh,West Godavari,523,Bhimavaram,4984,Yenamadurru,యనమదుర్రు,authoritative,588732,534239,,
Andhra Pradesh,Y.S.R. Kadapa,504,Kondapuram,5199,Yenamalachintala,యెనమలచింతల,authoritative,592818,516474,,
Andhra Pradesh,Krishna,510,Penamaluru,5024,Yenamalakuduru (Ct),యెనమాలకుదురు (సీటీ),transliterated,589511,520007,,
Andhra Pradesh,Parvathipuram Manyam,743,Komarada,4807,Yendabhadra,యెండభద్ర,authoritative,581722,535521,,
Andhra Pradesh,Visakhapatnam,520,Visakhapatnam (Rural),4866,Yendada,యెందడ,transliterated,929902,530045,,
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,K Gangavaram,4929,Yendagandi,యెండగండి,authoritative,587704,533305,,
Andhra Pradesh,West Godavari,523,Undi,4976,Yendagandi,యెండగండి,authoritative,588608,534186,,
Andhra Pradesh,Polavaram,791,Gangavaram,4894,Yendapalle,యెండపల్లి,authoritative,587080,533428,,
Andhra Pradesh,Kakinada,746,U.Kothapalli,4912,Yendapalle,యెండపల్లి,authoritative,587484,533447,,
Andhra Pradesh,Markapuram,790,Pullalacheruvu,5098,Yendra Palle,యెండ్రపల్లి,authoritative,590548,523327,,
Andhra Pradesh,Srikakulam,519,Ganguvarisigadam,4797,Yenduva,ఎండువ,authoritative,581367,532148,,
Andhra Pradesh,Srikakulam,519,Jalumuru,4792,Yenetikothuru,యెనెటికోతురు,transliterated,581145,532474,,
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,Allavaram,4940,Yentrikona,యెంట్రికొన,transliterated,587864,533217,,
Andhra Pradesh,Alluri Sitharama Raju,745,Gudem Kotha Veedhi,4850,Yenugubayalu,యెనుగుబయలు,authoritative,585422,531133,,
Andhra Pradesh,Alluri Sitharama Raju,745,G.Madugula,4848,Yenugugondi,యెనుగుగొంది,transliterated,584998,531029,,
Andhra Pradesh,Alluri Sitharama Raju,745,Gudem Kotha Veedhi,4850,Yenugugondi,యెనుగుగొంది,transliterated,585417,531133,,
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,P.Gannavaram,4934,Yenugupalle,యెనుగుపల్లె,transliterated,587797,533240,,
Andhra Pradesh,Parvathipuram Manyam,743,Seethampeta,4770,Yenugupeta,యెనుగుపేట,transliterated,580030,532443,,
Andhra Pradesh,Alluri Sitharama Raju,745,Munchingi Puttu,4841,Yenugurai,యెనుగురై,authoritative,583477,531040,,
Andhra Pradesh,Anakapalli,744,Kasimkota,4876,Yenugutuni,యెనుగుతుని,transliterated,586347,531055,,
Andhra Pradesh,Vizianagaram,521,Garividi,4826,Yenuguvalasa,యెనుగువలస,transliterated,582786,535128,,
Andhra Pradesh,West Godavari,523,Yelamanchili,4989,Yenuguvanilanka,యేనుగువానిలంక,authoritative,588805,534275,,
Andhra Pradesh,Ananthapuramu,502,Kundurpi,5333,Yenumaladoddi,యెనుమలదొడ్డి,authoritative,595124,515765,,
Andhra Pradesh,Sri Sathya Sai,754,Puttaparthy,5357,Yenumalapalle (Ct),యెనుమలపల్లె (సీటీ),transliterated,595452,515134,,
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Rapur,5175,Yepuru,యేపూరు,authoritative,592035,524414,,
Andhra Pradesh,Srikakulam,519,Sarubujjili,4793,Yeragam,యెరగం,authoritative,581161,532458,,
Andhra Pradesh,Anakapalli,744,Nathavaram,4852,Yerakabhoopati Agraharam,ఏరకభూపతి అగ్రహారం,transliterated,585749,531115,,
Andhra Pradesh,Kakinada,746,Prathipadu,4900,Yerakampalem,యెరకంపాలెం,transliterated,587284,533430,,
Andhra Pradesh,Anakapalli,744,Nathavaram,4852,Yerakampeta,ఏరకంపేట,transliterated,912636,531115,,
Andhra Pradesh,Vizianagaram,521,Gantyada,4830,Yerakannamdora Seetharamapuram,యెరకన్నందొర సీతారామపురం,authoritative,582927,535160,,
Andhra Pradesh,Anakapalli,744,Narsipatnam,4854,Yerakannapalem,యరకన్నపాలెం,transliterated,585800,531117,,
Andhra Pradesh,Parvathipuram Manyam,743,Palakonda,4784,Yerakarayapuram,యెరకరాయపురం,authoritative,580769,532440,,
Andhra Pradesh,Kurnool,511,Kowthalam,5252,Yerigiri,యెరిగిరి,authoritative,593804,518344,,
Andhra Pradesh,Annamayya,753,Kambhamvaripalle,5372,Yerlampalle,యెర్లంపల్లె,transliterated,595690,517213,,
Andhra Pradesh,Alluri Sitharama Raju,745,Chinthapalli,4849,Yernabili,యెర్నబిలి,transliterated,585296,531111,,
Andhra Pradesh,Alluri Sitharama Raju,745,Gudem Kotha Veedhi,4850,Yernabilli,యెర్నబిల్లి,transliterated,585522,531133,,
Andhra Pradesh,East Godavari,505,Devarapalle,4957,Yernagudem,యర్నగూడెం,authoritative,588255,534313,,
Andhra Pradesh,Tirupati,752,Yerpedu,5377,Yerpedu,ఏర్పేడు,authoritative,595786,517619,,
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,K Gangavaram,4929,Yerraa Pothavaram,యెర్ర పోతవరం,authoritative,587710,533262,,
Andhra Pradesh,Prakasam,517,Donakonda,5102,Yerrabalem,యర్రబాలె౦,authoritative,590627,523305,,
